カテゴリ	ファイル	日本語文言	想定翻訳キー	優先度
WEBデータベース	public/js/webdatabase.js:56	if (!confirm('Webデータベースのデモ業務サンプルを投入します。既存データは削除せず、同名があれば再利用します。実行しますか？')) {	webdatabase.webdatabase.l56	P1
WEBデータベース	public/js/webdatabase.js:69	App.showNotification(response.message || 'サンプルを投入しました', 'success');	webdatabase.webdatabase.l69	P1
WEBデータベース	public/js/webdatabase.js:72	App.showNotification(response.error || 'サンプル投入に失敗しました', 'error');	webdatabase.webdatabase.l72	P1
バリデーション	public/js/webdatabase.js:76	App.showNotification('通信エラーが発生しました', 'error');	validation.webdatabase.l76	P1
バリデーション	public/js/webdatabase.js:171	App.showNotification('エラーが発生しました', 'error');	validation.webdatabase.l171	P1
WEBデータベース	public/js/webdatabase.js:191	if (confirm('このフィールドを削除しますか？関連するデータも削除されます。')) {	webdatabase.webdatabase.l191	P1
バリデーション	public/js/webdatabase.js:240	App.showNotification('エラーが発生しました', 'error');	validation.webdatabase.l240	P1
WEBデータベース	public/js/webdatabase.js:284	App.showNotification('データの取得に失敗しました', 'error');	webdatabase.webdatabase.l284	P1
WEBデータベース	public/js/webdatabase.js:295	container.html('<div class="col-12 text-center py-5"><p class="text-muted">データベースがありません。新しいデータベースを作成してください。</p></div>');	webdatabase.webdatabase.l295	P1
WEBデータベース	public/js/webdatabase.js:348	App.showNotification('フィールド情報の取得に失敗しました', 'error');	webdatabase.webdatabase.l348	P1
WEBデータベース	public/js/webdatabase.js:405	$('#field-list').html('<tr><td colspan="6" class="text-center">フィールドがありません。フィールドを追加してください。</td></tr>');	webdatabase.webdatabase.l405	P1
WEBデータベース	public/js/webdatabase.js:413	App.showNotification('フィールドの削除に失敗しました', 'error');	webdatabase.webdatabase.l413	P1
WEBデータベース	public/js/webdatabase.js:474	App.showNotification('データの取得に失敗しました', 'error');	webdatabase.webdatabase.l474	P1
WEBデータベース	public/js/webdatabase.js:487	container.html('<tr><td colspan="' + colSpan + '" class="text-center">レコードがありません。新しいレコードを作成してください。</td></tr>');	webdatabase.webdatabase.l487	P1
WEBデータベース	public/js/webdatabase.js:529	.html('<i class="fas fa-edit"></i> 編集')	webdatabase.webdatabase.l529	P1
WEBデータベース	public/js/webdatabase.js:536	.attr('data-confirm', 'このレコードを削除しますか？')	webdatabase.webdatabase.l536	P1
WEBデータベース	public/js/webdatabase.js:537	.html('<i class="fas fa-trash"></i> 削除')	webdatabase.webdatabase.l537	P1
WEBデータベース	public/js/webdatabase.js:686	span.text('ユーザーが見つかりません');	webdatabase.webdatabase.l686	P1
WEBデータベース	public/js/webdatabase.js:690	span.text('ユーザー情報の取得に失敗しました');	webdatabase.webdatabase.l690	P1
WEBデータベース	public/js/webdatabase.js:694	span.text('未選択');	webdatabase.webdatabase.l694	P1
WEBデータベース	public/js/webdatabase.js:714	span.text('組織が見つかりません');	webdatabase.webdatabase.l714	P1
WEBデータベース	public/js/webdatabase.js:718	span.text('組織情報の取得に失敗しました');	webdatabase.webdatabase.l718	P1
WEBデータベース	public/js/webdatabase.js:722	span.text('未選択');	webdatabase.webdatabase.l722	P1
組織管理	Controllers/OrganizationController.php:32	'title' => '組織管理',	organizations.organizationcontroller.l32	P2
組織管理	Controllers/OrganizationController.php:47	'title' => '新規組織作成',	organizations.organizationcontroller.l47	P2
組織管理	Controllers/OrganizationController.php:73	$descendantIds[] = $id; // 自分自身も除外	organizations.organizationcontroller.l73	P2
組織管理	Controllers/OrganizationController.php:76	'title' => '組織編集',	organizations.organizationcontroller.l76	P2
組織管理	Controllers/OrganizationController.php:114	'title' => $organization['name'] . ' - 組織詳細',	organizations.organizationcontroller.l114	P2
組織管理	Controllers/OrganizationController.php:200	return ['success' => true, 'data' => $organization, 'message' => '組織を作成しました'];	organizations.organizationcontroller.l200	P2
組織管理	Controllers/OrganizationController.php:243	return ['success' => true, 'data' => $organization, 'message' => '組織を更新しました'];	organizations.organizationcontroller.l243	P2
組織管理	Controllers/OrganizationController.php:275	return ['success' => true, 'message' => '組織を削除しました'];	organizations.organizationcontroller.l275	P2
組織管理	Controllers/OrganizationController.php:301	return ['success' => true, 'message' => '表示順を更新しました'];	organizations.organizationcontroller.l301	P2
ワークフロー	views/workflow/requests.php:3	$pageTitle = '申請一覧';	workflow.requests.l3	P1
ワークフロー	views/workflow/requests.php:8	<h1 class="h3">申請一覧</h1>	workflow.requests.l8	P1
ワークフロー	views/workflow/requests.php:13	<i class="fas fa-plus"></i> 新規申請	workflow.requests.l13	P1
ワークフロー	views/workflow/requests.php:21	<h5 class="mb-0">検索・フィルター</h5>	workflow.requests.l21	P1
ワークフロー	views/workflow/requests.php:26	<label for="filter-status" class="form-label">ステータス</label>	workflow.requests.l26	P1
ワークフロー	views/workflow/requests.php:28	<option value="">すべて</option>	workflow.requests.l28	P1
ワークフロー	views/workflow/requests.php:29	<option value="draft" <?php echo isset($filters['status']) && $filters['status'] === 'draft' ? 'selected' : ''; ?>>下書き</option>	workflow.requests.l29	P1
ワークフロー	views/workflow/requests.php:30	<option value="pending" <?php echo isset($filters['status']) && $filters['status'] === 'pending' ? 'selected' : ''; ?>>承認待ち</option>	workflow.requests.l30	P1
ワークフロー	views/workflow/requests.php:31	<option value="approved" <?php echo isset($filters['status']) && $filters['status'] === 'approved' ? 'selected' : ''; ?>>承認済み</option>	workflow.requests.l31	P1
ワークフロー	views/workflow/requests.php:32	<option value="rejected" <?php echo isset($filters['status']) && $filters['status'] === 'rejected' ? 'selected' : ''; ?>>却下</option>	workflow.requests.l32	P1
ワークフロー	views/workflow/requests.php:33	<option value="cancelled" <?php echo isset($filters['status']) && $filters['status'] === 'cancelled' ? 'selected' : ''; ?>>キャンセル</option>	workflow.requests.l33	P1
ワークフロー	views/workflow/requests.php:37	<label for="filter-template" class="form-label">テンプレート</label>	workflow.requests.l37	P1
ワークフロー	views/workflow/requests.php:39	<option value="">すべて</option>	workflow.requests.l39	P1
ワークフロー	views/workflow/requests.php:48	<label for="filter-search" class="form-label">検索</label>	workflow.requests.l48	P1
ワークフロー	views/workflow/requests.php:49	<input type="text" class="form-control" id="filter-search" name="search" placeholder="申請番号、タイトル" value="<?php echo isset($filters['search']) ? htmlspecialchars($filters['search']) : ''; ?>">	workflow.requests.l49	P1
ワークフロー	views/workflow/requests.php:53	<button type="button" id="filter-clear" class="btn btn-outline-secondary me-2">クリア</button>	workflow.requests.l53	P1
ワークフロー	views/workflow/requests.php:54	<button type="submit" class="btn btn-primary">検索</button>	workflow.requests.l54	P1
ワークフロー	views/workflow/requests.php:68	<th>申請番号</th>	workflow.requests.l68	P1
ワークフロー	views/workflow/requests.php:69	<th>タイトル</th>	workflow.requests.l69	P1
ワークフロー	views/workflow/requests.php:70	<th>テンプレート</th>	workflow.requests.l70	P1
ワークフロー	views/workflow/requests.php:71	<th>申請者</th>	workflow.requests.l71	P1
ワークフロー	views/workflow/requests.php:72	<th>ステータス</th>	workflow.requests.l72	P1
ワークフロー	views/workflow/requests.php:73	<th>申請日</th>	workflow.requests.l73	P1
ワークフロー	views/workflow/requests.php:74	<th>操作</th>	workflow.requests.l74	P1
ワークフロー	views/workflow/requests.php:89	echo '<span class="badge bg-secondary">下書き</span>';	workflow.requests.l89	P1
ワークフロー	views/workflow/requests.php:92	echo '<span class="badge bg-warning">承認待ち</span>';	workflow.requests.l92	P1
ワークフロー	views/workflow/requests.php:95	echo '<span class="badge bg-success">承認済み</span>';	workflow.requests.l95	P1
ワークフロー	views/workflow/requests.php:98	echo '<span class="badge bg-danger">却下</span>';	workflow.requests.l98	P1
ワークフロー	views/workflow/requests.php:101	echo '<span class="badge bg-info">キャンセル</span>';	workflow.requests.l101	P1
ワークフロー	views/workflow/requests.php:104	echo '<span class="badge bg-secondary">不明</span>';	workflow.requests.l104	P1
ワークフロー	views/workflow/requests.php:112	<i class="fas fa-eye"></i> 詳細	workflow.requests.l112	P1
ワークフロー	views/workflow/requests.php:116	<i class="fas fa-edit"></i> 編集	workflow.requests.l116	P1
ワークフロー	views/workflow/requests.php:121	<i class="fas fa-times"></i> キャンセル	workflow.requests.l121	P1
ワークフロー	views/workflow/requests.php:130	<td class="text-center text-muted">申請がありません</td>	workflow.requests.l130	P1
ワークフロー	views/workflow/requests.php:200	<h5 class="modal-title">申請をキャンセル</h5>	workflow.requests.l200	P1
モーダル	views/workflow/requests.php:204	<p>この申請をキャンセルしますか？</p>	modal.requests.l204	P1
ワークフロー	views/workflow/requests.php:205	<p class="text-danger">※キャンセル後は元に戻せません。</p>	workflow.requests.l205	P1
ワークフロー	views/workflow/requests.php:208	<button type="button" class="btn btn-secondary" data-bs-dismiss="modal">閉じる</button>	workflow.requests.l208	P1
ワークフロー	views/workflow/requests.php:209	<button type="button" class="btn btn-danger" id="confirm-cancel-request">キャンセル</button>	workflow.requests.l209	P1
ダッシュボード	public/js/home.js:9	refreshInterval: 60000 // 未読数を更新する間隔（ミリ秒）	dashboard.home.l9	P2
ダッシュボード	public/js/home.js:112	'#6c757d', // secondary - 未対応	dashboard.home.l112	P2
ダッシュボード	public/js/home.js:113	'#0d6efd', // primary - 処理中	dashboard.home.l113	P2
ダッシュボード	public/js/home.js:114	'#198754', // success - 完了	dashboard.home.l114	P2
ダッシュボード	public/js/home.js:115	'#ffc107'  // warning - 保留	dashboard.home.l115	P2
ダッシュボード	public/js/home.js:150	'#dc3545', // danger - 最高	dashboard.home.l150	P2
ダッシュボード	public/js/home.js:151	'#fd7e14', // orange - 高	dashboard.home.l151	P2
ダッシュボード	public/js/home.js:152	'#0d6efd', // primary - 通常	dashboard.home.l152	P2
ダッシュボード	public/js/home.js:153	'#0dcaf0', // info - 低	dashboard.home.l153	P2
ダッシュボード	public/js/home.js:154	'#6c757d'  // secondary - 最低	dashboard.home.l154	P2
JS	public/js/pwa.js:84	<div style="margin-bottom:8px;">ホーム画面に追加できます</div>	js.pwa.l84	P3
JS	public/js/pwa.js:86	<button id="pwaInstallNow" class="btn btn-sm btn-light">インストール</button>	js.pwa.l86	P3
JS	public/js/pwa.js:87	<button id="pwaInstallClose" class="btn btn-sm btn-outline-light">閉じる</button>	js.pwa.l87	P3
JS	public/js/pwa.js:110	alert(ok ? 'Push購読を有効化しました。' : 'Push購読の有効化に失敗しました。');	js.pwa.l110	P3
JS	public/js/pwa.js:116	alert(ok ? 'Push購読を解除しました。' : 'Push購読解除に失敗しました。');	js.pwa.l116	P3
ワークフロー	views/workflow/index.php:3	$pageTitle = 'ワークフロー管理';	workflow.index.l3	P1
ワークフロー	views/workflow/index.php:10	<h1 class="h3 mb-4">ワークフロー管理</h1>	workflow.index.l10	P1
ワークフロー	views/workflow/index.php:21	<h5 class="card-title mb-1">テンプレート</h5>	workflow.index.l21	P1
ワークフロー	views/workflow/index.php:33	<small>テンプレート一覧 <i class="fas fa-arrow-right"></i></small>	workflow.index.l33	P1
